t,pred,prey,prey2,grass,grass2
8610,33,37,29,125,94
8620,32,36,28,124,94
8630,31,36,26,121,93
8640,29,33,26,119,94
8650,29,33,26,118,99
8660,29,33,26,119,100
8670,28,34,26,121,97
8680,27,33,25,122,99
8690,27,33,23,117,99
8700,27,32,26,114,101
8710,27,32,25,116,102
8720,28,34,26,116,104
8730,28,34,26,117,104
8740,28,33,26,119,104
8750,26,34,26,117,101
8760,26,33,24,120,97
8770,26,33,25,121,97
8780,27,32,23,121,98
8790,27,31,23,117,98
8800,26,29,21,121,95
8810,26,27,21,119,92
8820,26,28,23,121,96
8830,26,27,23,123,94
8840,25,27,23,123,92
8850,24,26,23,123,93
8860,24,24,23,123,94
8870,24,25,23,128,93
8880,26,24,23,124,95
8890,25,25,22,119,94
8900,25,25,22,118,92
8910,26,25,21,120,96
8920,26,25,21,120,94
8930,26,27,22,122,93
8940,26,27,23,122,95
8950,26,28,23,122,92
8960,26,31,23,127,94
8970,26,32,24,128,94
8980,26,32,24,123,94
8990,25,31,25,127,93
9000,25,30,24,129,92
9010,25,30,24,130,92
9020,25,29,22,132,96
9030,25,29,21,133,99
9040,25,26,21,135,100
9050,25,26,22,136,105
9060,25,23,23,142,104
9070,25,21,21,145,108
9080,25,20,23,144,106
9090,25,19,21,148,105
9100,23,18,19,154,110
9110,24,19,18,153,110
9120,24,20,18,153,112
9130,23,20,18,153,115
9140,23,20,17,153,119
9150,23,20,15,154,121
9160,23,19,14,155,122
9170,23,19,14,154,119
9180,23,18,14,157,117
9190,23,18,14,156,116
9200,23,18,14,156,114
9210,23,17,15,156,116
9220,23,15,14,155,116
9230,23,14,14,155,120
9240,23,17,14,155,123
9250,23,16,14,156,124
9260,23,16,14,157,126
9270,23,16,14,157,125
9280,23,14,14,157,122
9290,21,14,13,160,120
9300,21,14,13,160,119
9310,20,14,13,164,117
9320,20,14,13,163,118
9330,20,13,11,165,119
9340,19,12,11,166,118
9350,19,12,11,167,125
9360,19,11,11,166,124
9370,19,12,11,170,126
9380,18,12,10,170,126
9390,18,11,8,167,122
9400,18,11,8,171,123
9410,18,11,7,172,119
9420,19,11,6,171,120
9430,17,11,6,171,120
9440,16,11,6,171,121
9450,16,12,7,171,121
9460,16,13,8,171,123
9470,17,11,7,171,123
9480,18,11,6,173,124
9490,18,11,6,173,126
9500,18,11,5,173,125
9510,18,11,5,174,128
9520,17,12,5,174,127
9530,17,12,5,176,125
9540,17,12,5,176,129
9550,17,11,4,173,127
9560,17,11,5,172,128
9570,17,11,5,176,128
9580,17,12,5,172,128
9590,16,13,5,169,127
9600,16,13,6,169,126
9610,16,15,6,167,127
9620,16,15,6,168,123
9630,16,15,7,169,121
9640,14,16,7,167,122
9650,14,16,7,165,124
9660,13,16,7,165,122
9670,13,16,7,162,122
9680,13,16,7,159,123
9690,13,17,7,154,122
9700,13,18,6,154,124
9710,13,17,5,153,124
9720,13,16,5,150,123
9730,12,14,6,153,124
9740,12,13,6,156,124
9750,10,13,6,155,125
9760,10,13,7,158,123
9770,9,13,7,160,125
9780,9,13,7,161,126
9790,9,14,7,162,128
9800,9,14,9,159,122
9810,9,14,9,158,123
9820,9,14,9,161,120
9830,8,14,9,161,120
9840,8,14,9,157,122
9850,7,15,8,157,122
9860,7,15,8,157,120
9870,7,17,8,160,118
9880,8,17,9,160,118
9890,7,18,9,159,118
9900,7,19,10,159,112
9910,7,19,10,156,112
9920,7,18,10,154,109
9930,7,17,10,151,105
9940,7,17,10,147,103
9950,7,17,10,148,107
9960,7,17,10,147,104
9970,7,18,10,146,106
9980,7,18,10,146,108
9990,7,18,10,145,106
10000,7,18,10,144,105
10010,7,19,10,144,103
10020,7,19,11,144,105
10030,7,19,13,141,100
10040,6,20,13,139,103
10050,6,19,13,141,106
10060,6,19,13,139,104
10070,6,19,13,140,107
10080,6,19,13,139,110
10090,6,20,13,135,111
10100,6,21,14,135,112
10110,6,22,13,137,116
10120,6,22,13,137,113
10130,6,22,13,136,108
10140,6,22,12,134,107
10150,6,24,12,127,105
10160,6,24,12,122,107
10170,6,23,13,122,108
10180,6,25,13,120,110
10190,6,25,14,120,110
10200,6,26,14,118,109
10210,6,25,14,118,109
10220,6,25,14,117,107
10230,6,28,15,109,111
10240,6,28,15,108,109
10250,6,29,16,104,106
10260,7,30,17,101,105
10270,7,30,17,103,105
10280,7,30,17,104,107
10290,7,30,16,101,109
10300,7,32,19,100,110
10310,7,33,19,100,110
10320,7,34,21,103,107
10330,7,34,20,109,107
10340,7,34,21,111,104
10350,7,35,21,108,103
10360,8,36,22,112,99
10370,8,36,22,109,98
10380,8,35,22,106,95
10390,8,35,23,106,90
10400,8,36,24,102,90
10410,8,38,25,103,85
10420,8,38,25,104,88
10430,8,38,24,102,84
10440,8,39,24,105,83
10450,8,39,25,109,78
10460,8,42,26,104,77
10470,8,40,26,104,72
10480,8,40,26,105,74
10490,8,44,27,103,75
10500,8,44,27,96,72
10510,8,47,27,97,73
10520,8,47,27,92,74
10530,8,48,27,86,75
10540,7,48,28,80,82
10550,7,47,29,83,83
10560,7,50,30,84,86
10570,7,51,31,82,83
10580,7,53,33,88,83
10590,7,54,34,97,81
10600,6,55,34,94,80
10610,6,55,34,96,79
10620,6,56,32,93,79
10630,6,57,29,90,81
10640,6,57,30,86,76
10650,6,61,30,78,83
10660,6,61,30,78,81
10670,6,63,29,75,79
10680,6,59,28,74,75
10690,6,60,28,72,72
10700,7,63,30,67,71
10710,7,62,30,64,68
10720,7,66,30,69,67
10730,7,68,29,65,69
10740,7,69,31,68,67
10750,7,68,32,66,64
10760,7,67,32,65,64
10770,7,68,32,59,67
